Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
1,t1,a,Def.plural,Def.plural,Def.plural,a,A group of boys were talking about how the exam went.,The boys thought that they were the only one who got an A plus.
2,t2,d,Each,Each,Each,a,A bunch of firemen  were bragging about who was the fastest. ,Each fireman said that they were the only one who could beat the record.
3,t3,c,Every,Every,Every,a,A group of busboys were talking about tips at the restaurant.,Every busboy thought that they were the only one who got really bad tips.
4,t4,b,All,All,All,a,A group of men had applied for a prestigious scholarship at the university.,All the men believed that they were the only one who would get the award.
5,t5,a,Def.plural,Def.plural,Def.plural,a,A bunch of dads were competing to make the best cupcakes on a popular baking show.,The dads hoped that they were the only one who used chocolate frosting.
6,t6,d,Each,Each,Each,a,A group of guys were deciding on a video game to play at the house party.,Each guy believed that they were the only one who hated playing Mario Kart.
7,t7,c,Every,Every,Every,a,A big group of cowboys decided to go for a ride despite the poor weather.,Every cowboy thought that they were the only one who liked the pouring rain.
8,t8,b,All,All,All,a,A group of strongmen were competing in the final of the weightlifting championship.,All the strongmen thought that they were the only one who broke a new record.
9,t9,a,Def.plural,Def.plural,Def.plural,a,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,The schoolboys thought that they were the only one who could spell the hardest word.
10,t10,d,Each,Each,Each,a,A group of handymen had applied for one permanent position at the new shop.,Each handyman expected that they were the only one who would get the job offer.
11,t11,c,Every,Every,Every,a,A group of workmen offered to work during the Thanksgiving holiday.,Every workman thought that they were the only one who would want that shift.
12,t12,b,All,All,All,a,A group of salesmen were competing to win the employee of the year award.,All the salesmen hoped that they were the only one who could win the award.
13,t13,a,Def.plural,Def.plural,Def.plural,a,A group of businessmen were waiting on the train platform at rush hour.,The businessmen thought that they were the only one who would get a seat.
14,t14,d,Each,Each,Each,a,A bunch of husbands turned out early to save spots to view the parade through the city.,Each husband thought that they were the only one who had a good view.
15,t15,c,Every,Every,Every,a,A group of grandfathers met at the park to compare gardening plans for next year.,Every grandfather thought that they were the only one who would plant tulips.
