Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
1,t1,a,Def.plural,Def.plural,Def.plural,a,"Outside the school, there was a group of students talking about how the exam went.",The students thought that they were the only one who got an A plus.
2,t2,d,Each,Each,Each,a,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",Each runner said that they were the only one who could beat the record.
3,t3,c,Every,Every,Every,a,"After the restaurant closed for the night, a group of servers were talking about tips.",Every server thought that they were the only one who got really bad tips.
4,t4,b,All,All,All,a,A group of freshmen had applied for a prestigious scholarship at the university.,All the freshmen believed that they were the only one who would get the award.
5,t5,a,Def.plural,Def.plural,Def.plural,a,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,The chefs hoped that they were the only one who used chocolate frosting.
6,t6,d,Each,Each,Each,a,A group of teenagers were deciding on a video game to play at the house party.,Each teenager believed that they were the only one who hated playing Mario Kart.
7,t7,c,Every,Every,Every,a,A big group of cyclists decided to go for a ride despite the poor weather.,Every cyclist thought that they were the only one who liked the pouring rain. 
8,t8,b,All,All,All,a,A group of baristas were competing in the final of the World Barista Championship.,All the baristas thought that they were the only one who made good latte art.
9,t9,a,Def.plural,Def.plural,Def.plural,a,A bunch of kids made it to the TV showing of the national Spelling Bee.,The kids thought that they were the only one who could spell the hardest word.
10,t10,d,Each,Each,Each,a,A group of interns had applied for one permanent position at the company.,Each intern expected that they were the only one who would get the job offer.
11,t11,c,Every,Every,Every,a,A group of workers volunteered to work during the Thanksgiving holiday.,Every worker thought that they were the only one who would want that shift.
12,t12,b,All,All,All,a,A group of salespeople were competing to win the employee of the year award.,All the salespeople hoped that they were the only one who could win the award.
13,t13,a,Def.plural,Def.plural,Def.plural,a,A group of commuters were waiting on the train platform at rush hour.,The commuters thought that they were the only one who would get a seat.
14,t14,d,Each,Each,Each,a,A bunch of spectators turned out early to see the parade through the city.,Each spectator thought that they were the only one who had a good view.
15,t15,c,Every,Every,Every,a,"At the park, a group of neighbors met to compare gardening plans for next year.",Every neighbor thought that they were the only one who would plant tulips.
16,t16,b,All,All,All,a,A group of customers rushed to get an exclusive discount on a product.,All the customers thought that they were the only one who would get a discount.
17,t17,a,Def.plural,Def.plural,Def.plural,a,A group of managers competed to get a raise for having the best performance.,The managers thought that they were the only one who would get a raise.
18,t18,d,Each,Each,Each,a,A group of performers sang for a live audience to win a prize.,Each performer thought that they were the only one who would get a prize.
19,t19,c,Every,Every,Every,a,"At a family reunion, a group of cousins were competing in a sack race.",Every cousin thought that they were the only one who would win the race.
