Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
1,t1,b,All,All,All,b,A group of boys were talking about how the exam went.,All the boys thought that they were the only one who got an A plus.
2,t2,a,Def.plural,Def.plural,Def.plural,b,A bunch of firemen  were bragging about who was the fastest. ,The firemen said that they were the only one who could beat the record.
3,t3,d,Each,Each,Each,b,A group of busboys were talking about tips at the restaurant.,Each busboy thought that they were the only one who got really bad tips.
4,t4,c,Every,Every,Every,b,A group of men had applied for a prestigious scholarship at the university.,Every man believed that they were the only one who would get the award.
5,t5,b,All,All,All,b,A bunch of dads were competing to make the best cupcakes on a popular baking show.,All the dads hoped that they were the only one who used chocolate frosting.
6,t6,a,Def.plural,Def.plural,Def.plural,b,A group of guys were deciding on a video game to play at the house party.,The guys believed that they were the only one who hated playing Mario Kart.
7,t7,d,Each,Each,Each,b,A big group of cowboys decided to go for a ride despite the poor weather.,Each cowboy thought that they were the only one who liked the pouring rain.
8,t8,c,Every,Every,Every,b,A group of strongmen were competing in the final of the weightlifting championship.,Every strongman thought that they were the only one who broke a new record.
9,t9,b,All,All,All,b,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,All the schoolboys thought that they were the only one who could spell the hardest word.
10,t10,a,Def.plural,Def.plural,Def.plural,b,A group of handymen had applied for one permanent position at the new shop.,The handymen expected that they were the only one who would get the job offer.
11,t11,d,Each,Each,Each,b,A group of workmen offered to work during the Thanksgiving holiday.,Each workman thought that they were the only one who would want that shift.
12,t12,c,Every,Every,Every,b,A group of salesmen were competing to win the employee of the year award.,Every salesman hoped that they were the only one who could win the award.
13,t13,b,All,All,All,b,A group of businessmen were waiting on the train platform at rush hour.,All the businessmen thought that they were the only one who would get a seat.
14,t14,a,Def.plural,Def.plural,Def.plural,b,A bunch of husbands turned out early to save spots to view the parade through the city.,The husbands thought that they were the only one who had a good view.
15,t15,d,Each,Each,Each,b,A group of grandfathers met at the park to compare gardening plans for next year.,Each grandfather thought that they were the only one who would plant tulips.
16,t16,c,Every,Every,Every,b,A group of young brothers rushed to get an exclusive discount on a new video game.,Every brother thought that they were the only one who would get the game.
17,t17,b,All,All,All,b,A bunch of sons were hoping to take over the family autoshop.,All the sons thought that they were the only one who would be the next shop owner.
18,t18,a,Def.plural,Def.plural,Def.plural,b,A group of baritones sang for a live audience to win a prize.,The baritones thought that they were the only one who would get a prize.
19,t19,d,Each,Each,Each,b,A group of uncles were competing in a sack race at a family reunion.,Each uncle thought that they were the only one who would win the race.
