Group,Item,item2,Condition,Factor1,Factor2,Factor3,Context,TargetSentence
a,1,t1,a,Def.plural,Def.plural,Def.plural,A group of boys were talking about how the exam went.,The boys thought that they were the only one who got an A plus.
b,1,t1,b,All,All,All,A group of boys were talking about how the exam went.,All the boys thought that they were the only one who got an A plus.
c,1,t1,c,Every,Every,Every,A group of boys were talking about how the exam went.,Every boy thought that they were the only one who got an A plus.
d,1,t1,d,Each,Each,Each,A group of boys were talking about how the exam went.,Each boy thought that they were the only one who got an A plus.
b,2,t2,a,Def.plural,Def.plural,Def.plural,A bunch of firemen  were bragging about who was the fastest. ,The firemen said that they were the only one who could beat the record.
c,2,t2,b,All,All,All,A bunch of firemen  were bragging about who was the fastest. ,All the firemen said that they were the only one who could beat the record.
d,2,t2,c,Every,Every,Every,A bunch of firemen  were bragging about who was the fastest. ,Every fireman said that they were the only one who could beat the record.
a,2,t2,d,Each,Each,Each,A bunch of firemen  were bragging about who was the fastest. ,Each fireman said that they were the only one who could beat the record.
c,3,t3,a,Def.plural,Def.plural,Def.plural,A group of busboys were talking about tips at the restaurant.,The busboys thought that they were the only one who got really bad tips.
d,3,t3,b,All,All,All,A group of busboys were talking about tips at the restaurant.,All the busboys thought that they were the only one who got really bad tips.
a,3,t3,c,Every,Every,Every,A group of busboys were talking about tips at the restaurant.,Every busboy thought that they were the only one who got really bad tips.
b,3,t3,d,Each,Each,Each,A group of busboys were talking about tips at the restaurant.,Each busboy thought that they were the only one who got really bad tips.
d,4,t4,a,Def.plural,Def.plural,Def.plural,A group of men had applied for a prestigious scholarship at the university.,The men believed that they were the only one who would get the award.
a,4,t4,b,All,All,All,A group of men had applied for a prestigious scholarship at the university.,All the men believed that they were the only one who would get the award.
b,4,t4,c,Every,Every,Every,A group of men had applied for a prestigious scholarship at the university.,Every man believed that they were the only one who would get the award.
c,4,t4,d,Each,Each,Each,A group of men had applied for a prestigious scholarship at the university.,Each man believed that they were the only one who would get the award.
a,5,t5,a,Def.plural,Def.plural,Def.plural,A bunch of dads were competing to make the best cupcakes on a popular baking show.,The dads hoped that they were the only one who used chocolate frosting.
b,5,t5,b,All,All,All,A bunch of dads were competing to make the best cupcakes on a popular baking show.,All the dads hoped that they were the only one who used chocolate frosting.
c,5,t5,c,Every,Every,Every,A bunch of dads were competing to make the best cupcakes on a popular baking show.,Every dad hoped that they were the only one who used chocolate frosting.
d,5,t5,d,Each,Each,Each,A bunch of dads were competing to make the best cupcakes on a popular baking show.,Each dad hoped that they were the only one who used chocolate frosting.
b,6,t6,a,Def.plural,Def.plural,Def.plural,A group of guys were deciding on a video game to play at the house party.,The guys believed that they were the only one who hated playing Mario Kart.
c,6,t6,b,All,All,All,A group of guys were deciding on a video game to play at the house party.,All the guys believed that they were the only one who hated playing Mario Kart.
d,6,t6,c,Every,Every,Every,A group of guys were deciding on a video game to play at the house party.,Every guy believed that they were the only one who hated playing Mario Kart.
a,6,t6,d,Each,Each,Each,A group of guys were deciding on a video game to play at the house party.,Each guy believed that they were the only one who hated playing Mario Kart.
c,7,t7,a,Def.plural,Def.plural,Def.plural,A big group of cowboys decided to go for a ride despite the poor weather.,The cowboys thought that they were the only one who liked the pouring rain.
d,7,t7,b,All,All,All,A big group of cowboys decided to go for a ride despite the poor weather.,All the cowboys thought that they were the only one who liked the pouring rain.
a,7,t7,c,Every,Every,Every,A big group of cowboys decided to go for a ride despite the poor weather.,Every cowboy thought that they were the only one who liked the pouring rain.
b,7,t7,d,Each,Each,Each,A big group of cowboys decided to go for a ride despite the poor weather.,Each cowboy thought that they were the only one who liked the pouring rain.
d,8,t8,a,Def.plural,Def.plural,Def.plural,A group of strongmen were competing in the final of the weightlifting championship.,The strongmen thought that they were the only one who broke a new record.
a,8,t8,b,All,All,All,A group of strongmen were competing in the final of the weightlifting championship.,All the strongmen thought that they were the only one who broke a new record.
b,8,t8,c,Every,Every,Every,A group of strongmen were competing in the final of the weightlifting championship.,Every strongman thought that they were the only one who broke a new record.
c,8,t8,d,Each,Each,Each,A group of strongmen were competing in the final of the weightlifting championship.,Each strongman thought that they were the only one who broke a new record.
a,9,t9,a,Def.plural,Def.plural,Def.plural,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,The schoolboys thought that they were the only one who could spell the hardest word.
b,9,t9,b,All,All,All,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,All the schoolboys thought that they were the only one who could spell the hardest word.
