Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
1,t1,b,All,All,All,b,"Outside the school, there was a group of students talking about how the exam went.",All the students thought that they were the only one who got an A plus.
2,t2,a,Def.plural,Def.plural,Def.plural,b,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",The runners said that they were the only one who could beat the record.
3,t3,d,Each,Each,Each,b,"After the restaurant closed for the night, a group of servers were talking about tips.",Each server thought that they were the only one who got really bad tips.
4,t4,c,Every,Every,Every,b,A group of freshmen had applied for a prestigious scholarship at the university.,Every freshman believed that they were the only one who would get the award.
5,t5,b,All,All,All,b,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,All the chefs hoped that they were the only one who used chocolate frosting.
6,t6,a,Def.plural,Def.plural,Def.plural,b,A group of teenagers were deciding on a video game to play at the house party.,The teenagers believed that they were the only one who hated playing Mario Kart.
7,t7,d,Each,Each,Each,b,A big group of cyclists decided to go for a ride despite the poor weather.,Each cyclist thought that they were the only one who liked the pouring rain. 
8,t8,c,Every,Every,Every,b,A group of baristas were competing in the final of the World Barista Championship.,Every barista thought that they were the only one who made good latte art.
9,t9,b,All,All,All,b,A bunch of kids made it to the TV showing of the national Spelling Bee.,All the kids thought that they were the only one who could spell the hardest word.
10,t10,a,Def.plural,Def.plural,Def.plural,b,A group of interns had applied for one permanent position at the company.,The interns expected that they were the only one who would get the job offer.
11,t11,d,Each,Each,Each,b,A group of workers volunteered to work during the Thanksgiving holiday.,Each worker thought that they were the only one who would want that shift.
12,t12,c,Every,Every,Every,b,A group of salespeople were competing to win the employee of the year award.,Every salesperson hoped that they were the only one who could win the award.
13,t13,b,All,All,All,b,A group of commuters were waiting on the train platform at rush hour.,All the commuters thought that they were the only one who would get a seat.
14,t14,a,Def.plural,Def.plural,Def.plural,b,A bunch of spectators turned out early to see the parade through the city.,The spectators thought that they were the only one who had a good view.
15,t15,d,Each,Each,Each,b,"At the park, a group of neighbors met to compare gardening plans for next year.",Each neighbor thought that they were the only one who would plant tulips.
16,t16,c,Every,Every,Every,b,A group of customers rushed to get an exclusive discount on a product.,Every customer thought that they were the only one who would get a discount.
17,t17,b,All,All,All,b,A group of managers competed to get a raise for having the best performance.,All the managers thought that they were the only one who would get a raise.
18,t18,a,Def.plural,Def.plural,Def.plural,b,A group of performers sang for a live audience to win a prize.,The performers thought that they were the only one who would get a prize.
19,t19,d,Each,Each,Each,b,"At a family reunion, a group of cousins were competing in a sack race.",Each cousin thought that they were the only one who would win the race.
20,t20,c,Every,Every,Every,b,A group of fans had bet on different teams to win the championship.,Every fan thought that they were the only one who had chosen the winning team.
21,t21,b,All,All,All,b,A group of directors had submitted short films to the local festival.,All the directors expected that they were the only one who would be featured on opening night.
22,t22,a,Def.plural,Def.plural,Def.plural,b,"At a conference, a group of mathematicians were arguing about the solution to a problem.",The mathematicians said that they were the only one who had the correct solution.
23,t23,d,Each,Each,Each,b,A bunch of musicians were having a disagreement about who was in tune.,Each musician said that they were the only one who was in tune.
24,t24,c,Every,Every,Every,b,A group of journalists were comparing sources used in the past month.,Every journalist thought that they were the only one who had a reliable source.
25,r25,b,Island,mismatch,Strong,b,There was a commotion at the police station.,There was a policeman who a civilian was glad because the city council acknowledged her last week.
26,r26,a,Island,match,Strong,b,Getting ready for a new baby is stressful.,There was a midwife who a parent was concerned because the clinic fired her unexpectedly.
27,r27,d,NonIsland,mismatch,Strong,b,People like to gossip about royalty.,There was a prince who a guest of honor knew that the servants mocked her at the party.
28,r28,c,NonIsland,match,Strong,b,There was a lot of drama at the theater.,There was a ballerina who an audience member said that the choreographers humiliated her during the performance.
29,r29,b,Island,mismatch,Weak,b,The wedding party seemed to be upset.,There was a bridesmaid who an assistant wondered whether the florists embarrassed him before the wedding.
30,r30,a,Island,match,Weak,b,Weddings can put people under a lot of stress.,There was an usher who a friend asked whether the groomsmen insulted him at the altar.
31,r31,d,NonIsland,mismatch,Weak,b,Children can get bored at weddings.,There was a flower girl who a grandparent believed that the caretakers entertained him during the reception.
32,r32,c,NonIsland,match,Weak,b,There was an incident at the campsite.,There was a boy scout who a camper thought that the troop leader disciplined him for no reason.
33,r33,b,Island,mismatch,Strong,b,A brilliant resume can pay off.,There was a man who an intern was amazed because the managers hired her without an interview.
34,r34,a,Island,match,Strong,b,Speed traps are becoming common in the city.,There was a woman who a driver was surprised because the police arrested her for speeding.
35,r35,d,NonIsland,mismatch,Strong,b,Working at a restaurant can be nerve-wracking.,There was a waitress who a colleague was distressed that the cooks criticized him for no reason.
36,r36,c,NonIsland,match,Strong,b,Working at a hotel is not fun.,There was a hostess who a custodian was upset that the customers harassed her last week.
37,r37,b,Island,mismatch,Weak,b,Show business is tough.,There was an actress who an agent wondered whether the producers despised him vehemently.
38,r38,a,Island,match,Weak,b,Good parent volunteers are hard to find.,There was a mother who a teacher inquired whether the children liked her a lot.
39,r39,d,NonIsland,mismatch,Weak,b,Banks are very careful about giving out loans.,There was a businessman who a banker thought that the associates trusted her completely.
40,r40,c,NonIsland,match,Weak,b,Good help is hard to find.,There was a handyman who an employee said that the company hired him from the agency.
41,f41,f,filler,filler,good,b,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
