Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
1,t1,d,Each,Each,Each,d,A group of boys were talking about how the exam went.,Each boy thought that they were the only one who got an A plus.
2,t2,c,Every,Every,Every,d,A bunch of firemen  were bragging about who was the fastest. ,Every fireman said that they were the only one who could beat the record.
3,t3,b,All,All,All,d,A group of busboys were talking about tips at the restaurant.,All the busboys thought that they were the only one who got really bad tips.
4,t4,a,Def.plural,Def.plural,Def.plural,d,A group of men had applied for a prestigious scholarship at the university.,The men believed that they were the only one who would get the award.
5,t5,d,Each,Each,Each,d,A bunch of dads were competing to make the best cupcakes on a popular baking show.,Each dad hoped that they were the only one who used chocolate frosting.
6,t6,c,Every,Every,Every,d,A group of guys were deciding on a video game to play at the house party.,Every guy believed that they were the only one who hated playing Mario Kart.
7,t7,b,All,All,All,d,A big group of cowboys decided to go for a ride despite the poor weather.,All the cowboys thought that they were the only one who liked the pouring rain.
8,t8,a,Def.plural,Def.plural,Def.plural,d,A group of strongmen were competing in the final of the weightlifting championship.,The strongmen thought that they were the only one who broke a new record.
9,t9,d,Each,Each,Each,d,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,Each schoolboy thought that they were the only one who could spell the hardest word.
10,t10,c,Every,Every,Every,d,A group of handymen had applied for one permanent position at the new shop.,Every handyman expected that they were the only one who would get the job offer.
11,t11,b,All,All,All,d,A group of workmen offered to work during the Thanksgiving holiday.,All the workmen thought that they were the only one who would want that shift.
12,t12,a,Def.plural,Def.plural,Def.plural,d,A group of salesmen were competing to win the employee of the year award.,The salesmen hoped that they were the only one who could win the award.
13,t13,d,Each,Each,Each,d,A group of businessmen were waiting on the train platform at rush hour.,Each businessman thought that they were the only one who would get a seat.
14,t14,c,Every,Every,Every,d,A bunch of husbands turned out early to save spots to view the parade through the city.,Every husband thought that they were the only one who had a good view.
15,t15,b,All,All,All,d,A group of grandfathers met at the park to compare gardening plans for next year.,All the grandfathers thought that they were the only one who would plant tulips.
16,t16,a,Def.plural,Def.plural,Def.plural,d,A group of young brothers rushed to get an exclusive discount on a new video game.,The brothers thought that they were the only one who would get the game.
17,t17,d,Each,Each,Each,d,A bunch of sons were hoping to take over the family autoshop.,Each son thought that they were the only one who would be the next shop owner.
18,t18,c,Every,Every,Every,d,A group of baritones sang for a live audience to win a prize.,Every baritone thought that they were the only one who would get a prize.
19,t19,b,All,All,All,d,A group of uncles were competing in a sack race at a family reunion.,All the uncles thought that they were the only one who would win the race.
20,t20,a,Def.plural,Def.plural,Def.plural,d,A group of linesmen had bet on different teams to win the championship.,The linesmen thought that they were the only one who had chosen the winning team.
21,t21,d,Each,Each,Each,d,A group of cameramen had submitted short films to the local festival.,Each cameraman expected that they were the only one who would be featured on opening night.
22,t22,c,Every,Every,Every,d,A bunch of dukes were talking about their future inheritance.,Every duke hoped that they were the only one who would inherit a large tract of land.
23,t23,b,All,All,All,d,A group of weathermen were discussing the latest climate change research.,All the weathermen believed that they were the only one who would understand the research.
24,t24,a,Def.plural,Def.plural,Def.plural,d,A group of fishermen were comparing catches from the last summer.,The fishermen thought that they were the only one who was not exaggerating the size of the catch.
25,r25,d,NonIsland,mismatch,Strong,d,There was a commotion at the police station.,There was an officer who a widower said that the city council acknowledged her rightfully last week.
26,r26,c,NonIsland,match,Strong,d,Getting ready for a new baby is stressful.,There was a staff member who a mother believed that the clinic fired her unexpectedly this morning.
27,r27,b,Island,mismatch,Strong,d,People like to gossip about royal galas.,There was a guest who a prince was enraged because the servants mocked her relentlessly at the party.
28,r28,a,Island,match,Strong,d,There was a lot of drama at the theater.,There was an audience member who a ballerina was angry because the choreographers humiliated her mercilessly during the performance.
29,r29,d,NonIsland,mismatch,Weak,d,The wedding party seemed to be upset.,There was an assistant who a bridesmaid believed that the florists embarrassed him needlessly before the wedding.
30,r30,c,NonIsland,match,Weak,d,Weddings can put people under a lot of stress.,There was a relative who an usher believed that the groomsmen insulted him quietly at the altar.
31,r31,b,Island,mismatch,Weak,d,Children can get bored at weddings.,There was a toddler who a grandmother inquired whether the caretakers entertained him easily during the reception.
32,r32,a,Island,match,Weak,d,There was an incident at the campsite.,There was a camper who a boy scout speculated whether the troop leader disciplined him rigorously for no reason.
