Group,Item,ID,factor1,factor2,Context,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb,CorrectAns
a,b01,b01a,doublematch,reflexive,School had just gotten out for the day.,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy,1
b,b01,b01b,singlematch,reflexive,School had just gotten out for the day.,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy,1
c,b01,b01c,doublematch,pronoun,School had just gotten out for the day.,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought him a huge box of popcorn.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy,0
d,b01,b01d,singlematch,pronoun,School had just gotten out for the day.,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought her a huge box of popcorn.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy,0
b,b02,b02a,doublematch,reflexive,Everyone was starting to get hungry.,The young boy was settin the dinner table. He asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,fetch,1
c,b02,b02b,singlematch,reflexive,Everyone was starting to get hungry.,The young girl was setting the dinner table. She asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,fetch,1
d,b02,b02c,doublematch,pronoun,Everyone was starting to get hungry.,The young boy was setting the dinner table. He asked whether the old man who was holding a cup could fetch him a large clean plate.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,fetch,0
a,b02,b02d,singlematch,pronoun,Everyone was starting to get hungry.,The young girl was setting the dinner table. She asked whether the old man who was holding a cup could fetch her a large clean plate.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,fetch,0
c,b03,b03a,doublematch,reflexive,It was the first day of Summer vacation. ,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,build,1
d,b03,b03b,singlematch,reflexive,It was the first day of Summer vacation. ,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,build,1
