Group,Item,ID,factor1,factor2,Context,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb
a,b01,b01a,doublematch,reflexive,School had just gotten out for the day.,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
b,b01,b01b,singlematch,reflexive,School had just gotten out for the day.,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy
c,b01,b01c,doublematch,pronoun,School had just gotten out for the day.,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought him a huge box of popcorn.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
d,b01,b01d,singlematch,pronoun,School had just gotten out for the day.,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought her a huge box of popcorn.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy
b,b02,b02a,doublematch,reflexive,Everyone was starting to get hungry.,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,fetch
c,b02,b02b,singlematch,reflexive,Everyone was starting to get hungry.,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,fetch
d,b02,b02c,doublematch,pronoun,Everyone was starting to get hungry.,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch him a large clean plate.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,fetch
a,b02,b02d,singlematch,pronoun,Everyone was starting to get hungry.,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch her a large clean plate.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,fetch
c,b03,b03a,doublematch,reflexive,It was the first day of Summer vacation. ,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,build
d,b03,b03b,singlematch,reflexive,It was the first day of Summer vacation. ,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,build
a,b03,b03c,doublematch,pronoun,It was the first day of Summer vacation. ,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built him a magnificent sand castle.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,build
b,b03,b03d,singlematch,pronoun,It was the first day of Summer vacation. ,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built her a magnificent sand castle.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,build
d,b04,b04a,doublematch,reflexive,It is interesting to learn how food is made.,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,make
a,b04,b04b,singlematch,reflexive,It is interesting to learn how food is made.,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,make
b,b04,b04c,doublematch,pronoun,It is interesting to learn how food is made.,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made him some special rich cheese.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,make
c,b04,b04d,singlematch,pronoun,It is interesting to learn how food is made.,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made her some special rich cheese.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,make
a,b05,b05a,doublematch,reflexive,Extracurricular activities can be a lot of fun.,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
b,b05,b05b,singlematch,reflexive,Extracurricular activities can be a lot of fun.,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy
c,b05,b05c,doublematch,pronoun,Extracurricular activities can be a lot of fun.,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought him a new canoe.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
d,b05,b05d,singlematch,pronoun,Extracurricular activities can be a lot of fun.,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought her a new canoe.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy
b,b06,b06a,doublematch,reflexive,Dinner would not be ready for a while.,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,crack
c,b06,b06b,singlematch,reflexive,Dinner would not be ready for a while.,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,crack
d,b06,b06c,doublematch,pronoun,Dinner would not be ready for a while.,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking him a huge walnut.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,crack
a,b06,b06d,singlematch,pronoun,Dinner would not be ready for a while.,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking her a huge walnut.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,crack
c,b07,b07a,doublematch,reflexive,It was almost time to eat lunch.,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make
d,b07,b07b,singlematch,reflexive,It was almost time to eat lunch.,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make
a,b07,b07c,doublematch,pronoun,It was almost time to eat lunch.,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made her a large salami pizza.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make
b,b07,b07d,singlematch,pronoun,It was almost time to eat lunch.,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made him a large salami pizza.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make
d,b08,b08a,doublematch,reflexive,It was an extra warm Saturday afternoon.,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,buy
a,b08,b08b,singlematch,reflexive,It was an extra warm Saturday afternoon.,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,buy
