Group,Item,ID,factor1,factor2,Sentence
a,b01,b01a,trial,doublematch,School had just gotten out for the day. The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought
b,b01,b01b,trial,singlematch,School had just gotten out for the day. The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought 
a,b02,b02d,trial,singlematch,Everyone was starting to get hungry. The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch
b,b02,b02a,trial,doublematch,Everyone was starting to get hungry. The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch
a,b03,b03c,trial,doublematch,It was the first day of Summer vacation.  The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built 
b,b03,b03d,trial,singlematch,It was the first day of Summer vacation.  The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built 
a,b04,b04b,trial,singlematch,It is interesting to learn how food is made. The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made
b,b04,b04c,trial,doublematch,It is interesting to learn how food is made. The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made
a,b05,b05a,trial,doublematch,Extracurricular activities can be a lot of fun. The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought
b,b05,b05b,trial,singlematch,Extracurricular activities can be a lot of fun. The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought 
a,b06,b06d,trial,singlematch,Dinner would not be ready for a while. The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking
b,b06,b06a,trial,doublematch,Dinner would not be ready for a while. The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking 
a,b07,b07c,trial,doublematch,It was almost time to eat lunch. The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made
b,b07,b07d,trial,singlematch,It was almost time to eat lunch. The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made
a,b08,b08b,trial,singlematch,It was an extra warm Saturday afternoon. The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought
b,b08,b08c,trial,doublematch,It was an extra warm Saturday afternoon. The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought
a,b09,b09a,trial,doublematch,Everyone was home for the weekend. The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked
b,b09,b09b,trial,singlematch,Everyone was home for the weekend. The young boy was feeling very hungry. He watched as the old woman who was holding a spoon baked
a,b10,b10d,trial,singlematch,It was a cold January afternoon. The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making
b,b10,b10a,trial,doublematch,It was a cold January afternoon. The young girl watched the snow falling outside. She could hear that the old woman who was holding a shovel was making
a,b11,b11c,trial,doublematch,The holidays are a busy time for mail. The old man was watching the customers in the post office. He wondered why the young boy who was wearing a dress shirt sent
b,b11,b11d,trial,singlematch,The holidays are a busy time for mail. The old woman was watching the customers in the post office. She wondered why the young boy who was wearing a dress shirt sent
a,b12,b12b,trial,singlematch,It was a quiet morning in the house. The old woman was standing in the kitchen. She noticed that the young boy who was holding a ladle boiled
b,b12,b12c,trial,doublematch,It was a quiet morning in the house. The old man was standing in the kitchen. He noticed that the young boy who was holding a ladle boiled
a,b13,b13a,trial,doublematch,It takes practice to be a good musician. The old man was listening very hard. He knew that the young boy who was practicing the piano found
b,b13,b13b,trial,singlematch,It takes practice to be a good musician. The old woman was listening very hard. She knew that the young boy who was practicing the piano found
a,b14,b14d,trial,singlematch,It had been a very mild October. The old woman was looking forward to Halloween. She knew that the young boy who was dressing up as a ghost had carved
b,b14,b14a,trial,doublematch,It had been a very mild October. The old man was looking forward to Halloween. He knew that the young boy who was dressing up as a ghost had carved
a,b15,b15c,trial,doublematch,People often avoid talking in front of crowds. The old man was very nervous before the TV interview. He suddenly realized that the young boy who was wearing headsets got
b,b15,b15d,trial,singlematch,People often avoid talking in front of crowds. The old woman was very nervous before the TV interview. She suddenly realized that the young boy who was wearing headsets got
a,b16,b16b,trial,singlematch,Warm layers are important in the cold months. The old woman knew that winter wasn't very far away. She smiled when the young boy who was wearing thick socks knit
